source_url,source_record_id,target_path,sha256,bytes,mime_type,recovery_status,evidence,notes
http://hrk-up.net/mt/balog_images/photo-1091976396.69-1.jpg,,/img/blog/2004/08/d743262f281d-cc87f6f6bf9e.jpg,cc87f6f6bf9e9c4cf8e2214c2b587f36abb949ed2deca54edfb2967c133c7935,12833,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1091976612.85-0.jpg,,/img/blog/2004/08/f14bb59ba1fe-52198c02b073.jpg,52198c02b0732582b59e10e081b496ce0a0b3925080dbc51dc6a0e0e093aadd7,12544,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1094026113.26-0.jpg,,/img/blog/2004/09/4344944a4c02-7f8bea82e230.jpg,7f8bea82e230839c6773434f9ca8927ef9e75be23bbe09b7c48cfd3bc17af6a4,16729,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1094026770.43-0.jpg,,/img/blog/2004/09/75e3af2a23e3-3785ef40c206.jpg,3785ef40c2062e9463ea332236af42f7210b03d241cfb3fc5cb5155aa02de57c,9935,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1094027844.75-0.jpg,,/img/blog/2004/09/906003c36432-659bf47a01e9.jpg,659bf47a01e939c96422d8be063f608ce3ba12a7fc8ab710042fb6cbacaaa990,8598,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1095827599.94-0.jpg,,/img/blog/2004/09/6352d793aff7-25c1d62c9047.jpg,25c1d62c90477aa1273b8dd85371b12dad2aca8f4422476db1069afbdc395203,14755,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1097073449.22-0.jpg,,/img/blog/2004/10/1bdef21aa7c5-a5f0e5a22251.jpg,a5f0e5a2225142a1b3179b2ba36c46b5251c3b19fa735558699e746355d9cc13,15539,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1097392243.71-0.jpg,,/img/blog/2004/10/e392aecdd3b8-2f8812a3b291.jpg,2f8812a3b2910331d7b61676181b5ff2de22e617898b62934628eb6ea77a5aa6,13571,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1097401474.66-0.jpg,,/img/blog/2004/10/2562263bfcfb-382ba7411982.jpg,382ba741198266c45f7a9ba4a98a8f8de305262b34e59f6523a21be11b10a42a,12915,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1097401735.29-0.jpg,,/img/blog/2004/10/9532c83107bf-0ab5444d17a3.jpg,0ab5444d17a359a644073c8d8c72da459610e6f97a3258b12feb7b87fc0ac349,14499,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1099987018.36-0.jpg,,/img/blog/2004/11/66300d2b171b-3bf930d7c7e3.jpg,3bf930d7c7e31be8b086559e5e3703139a4e33c6802320a593494156b9f8ad60,16086,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1100051409.73-0.jpg,,/img/blog/2004/11/b83a124d24e6-9462517d6ff6.jpg,9462517d6ff6f75bd573d8d9a0189138542878e078f8e3eae6cf4c1dd5d29570,8840,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1100056292.95-0.jpg,,/img/blog/2004/11/47be8eea212a-23cac0802d25.jpg,23cac0802d25d49a09f5bca0da042e0a9a4f75f86843859cc0cea53ff4886a55,10931,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1100058559.39-0.jpg,,/img/blog/2004/11/11f8908f9506-b132df9848cb.jpg,b132df9848cb3c1ebf5d0d07005b48a92e6a972f4ef3d83d8cdd30f918bb5510,16035,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1100221881.53-0.jpg,,/img/blog/2004/11/0109ab61bae2-3a945c74fc03.jpg,3a945c74fc0380b8f363372f43c8393a639dee60f7c112d293a799fe4275dbcb,16965,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1101612610.35-0.jpg,,/img/blog/2004/11/d7b8787677c5-efdc1e49e307.jpg,efdc1e49e307a1942a70e608cd06276440e2376844d20ee1d024b43afa80bd2a,20263,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
http://hrk-up.net/mt/balog_images/photo-1101623328.58-0.jpg,,/img/blog/2004/11/1144c6eccedd-204954763ee9.jpg,204954763ee91d534ec5372589e1395bbd7754a19b0e27770b0de405811cf35b,12040,image/jpeg,recovered,Exact historical host/path matched to supplied server backup,2026-09-10 local backup recovery; month from referencing article publication date
